run	root	platform	coverage	child	parent	sex	n_dnm	sampled_snps	qualified_snps	accessible_bp	callable_bp	rate	rate_lo	rate_hi	fingerprint	mtime	duplicate_of	is_duplicate
OOPS_Pacbio_10x_77_89	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12877	NA12889	paternal	9	5022	4144	1810972541.0	1494358862.983672	6.022649728212131e-09	2.753938962935237e-09	1.1432865207027479e-08	f439f76a61c0c944d5e9973fa1168bb3	1787168837.0		False
OOPS_Pacbio_10x_78_91	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12878	NA12891	paternal	21	5511	4604	1811499975.0	1513363434.0228634	1.3876375976771975e-08	8.589695437216303e-09	2.1211514705104496e-08	2b410692ba87d8ddeaf8837c4f8deed2	1787164141.0		False
OOPS_Pacbio_10x_78_92	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12878	NA12892	maternal	2	5494	4577	1808814844.0	1506906723.878413	1.3272221620011652e-09	1.607327611629318e-10	4.7943827930698744e-09	80e670ceaf2c84f38b2c1e0126006187	1787226034.0		False
OOPS_Pacbio_10x_79_77	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12879	NA12877	paternal	12	6608	2977	1764521435.0	794942541.1614709	1.5095430648946145e-08	7.800029294774829e-09	2.6368679448895145e-08	60b5dd4604b73967f5c28dafd7e31fe3	1787168595.0		False
OOPS_Pacbio_10x_79_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12879	NA12878	maternal	3	6624	3001	1764464512.0	799389794.763285	3.752862520453315e-09	7.739304741547299e-10	1.0967456836671883e-08	73ea922c5c226fd48cedc13e334f5954	1786451052.0		False
OOPS_Pacbio_10x_82_77	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12882	NA12877	paternal	16	6148	4168	1803717149.0	1222819303.3558881	1.3084517030512869e-08	7.478932029076631e-09	2.1248435910566317e-08	a5f962aedce0d54602ef933ebde19e46	1787168620.0		False
OOPS_Pacbio_10x_82_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	10	NA12882	NA12878	maternal	3	6146	4127	1799403875.0	1208288283.7821348	2.4828511873089772e-09	5.120236049621031e-10	7.25594478355725e-09	d75e8e6a43150d5d26801e85ff8412e6	1787225996.0		False
OOPS_Pacbio_15x_79_77	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	15	NA12879	NA12877	paternal	10	5533	2426	1803488314.0	790757753.436472	1.2646097944082163e-08	6.064295513123521e-09	2.3256624373390004e-08	ffcb69eb286cecb31e81f12c79fe2739	1787260028.0		False
OOPS_Pacbio_15x_79_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	15	NA12879	NA12878	maternal	1	5532	2411	1798530854.0	783849943.7805495	1.2757543812237167e-09	3.22993044589386e-11	7.108048466606464e-09	4df61964794d9e4047fdcacf2c7f49c1	1787168537.0		False
OOPS_Pacbio_20x_79_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	20	NA12879	NA12878	maternal	3	6624	3001	1764464512.0	799389794.763285	3.752862520453315e-09	7.739304741547299e-10	1.0967456836671883e-08	73ea922c5c226fd48cedc13e334f5954	1786474019.0	OOPS_Pacbio_10x_79_78	True
OOPS_Pacbio_37x_79_77	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	37	NA12879	NA12877	paternal	22	4214	3425	1823298998.0	1481917196.9981017	1.4845633780730181e-08	9.303679652384297e-09	2.2476467952863565e-08	8e8254fcc98870bca35761075f19c4d9	1787261522.0		False
OOPS_Pacbio_37x_79_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	37	NA12879	NA12878	maternal	2	4237	3395	1829368107.0	1465825990.8579185	1.3644184319787099e-09	1.6523740202082564e-10	4.928748509565924e-09	eaeefdf0ee7cfb1dbabd16456d837ba3	1787168865.0		False
OOPS_Pacbio_5x_79_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	5	NA12879	NA12878	maternal	1	10902	2924	1606816484.0	430960502.58814895	2.320398259224369e-09	5.874739757412306e-11	1.2928431625353579e-08	bd58a5c2f8a53ac342d5bd62ccf90c50	1787168503.0		False
OOPS_Pacbio_7x_79_77	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	7	NA12879	NA12877	paternal	10	8206	3289	1699808714.0	681290623.9758713	1.4678023809636578e-08	7.038682945829396e-09	2.6993408385243085e-08	3c5c493939dd53a541ac1f67d5da9a33	1787259946.0		False
OOPS_Pacbio_7x_79_78	/N/scratch/nguyetrt/OOPS_outputs	Pacbio	7	NA12879	NA12878	maternal	1	8138	3224	1694507235.0	671306380.6389776	1.4896327948620985e-09	3.771423706741968e-11	8.29970271641925e-09	21d8fd101a9db216a42d7cc3dde7edcb	1787168564.0		False
